Objetivos,Metas,Indicadores,Ciudad,Valor,Fuente
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.1. Porcentaje de población afiliada al sistema de salud,Barranquilla,120.70,Ministerio de Salud-BDUA
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.2. Porcentaje de desocupados que reciben subsidio al desempleo,Barranquilla,0.40,DANE-GEIH
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.3. Porcentaje de Ocupados afiliados a sistema de pensiones,Barranquilla,36.10,DANE-GEIH
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.4. Porcentaje de ocupados afiliados a cajas de compensación familiar,Barranquilla,31.40,DANE-GEIH
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.5. Porcentaje de ocupados afiliados a ARL,Barranquilla,36.00,DANE-GEIH
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.6. Beneficiarios de programa Más Familias en Acción,Barranquilla,49202,DNP
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.7. Beneficiarios de programa de cero a siempre,Barranquilla,39763,DNP
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.8. Beneficiarios de programa jóvenes en acción,Barranquilla,16158,DNP
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.9. Beneficiarios de programa de adultos mayores Colombia mayor,Barranquilla,16835,DNP
Objetivo1,1.4   Para 2030 garantizar que todos los hombres y mujeres. particularmente los pobres y vulnerables. tengan los mismos derechos a recursos económicos. así como el acceso a servicios básicos. la propiedad y control de la tierra y otras formas de propiedad. la herencia. los recursos naturales. la nueva tecnología apropiada y los servicios financieros. incluyendo las microfinanciación,1.4.1.1 Proporción de personas que vive en hogares en cuyas viviendas cuentan con servicio de Acueducto,Barranquilla,99.60,DANE-GEIH
Objetivo1,1.4   Para 2030 garantizar que todos los hombres y mujeres. particularmente los pobres y vulnerables. tengan los mismos derechos a recursos económicos. así como el acceso a servicios básicos. la propiedad y control de la tierra y otras formas de propiedad. la herencia. los recursos naturales. la nueva tecnología apropiada y los servicios financieros. incluyendo las microfinanciación,1.4.1.2 Proporción de personas que vive en hogares en cuyas viviendas cuentan con servicio de Alcantarillado,Barranquilla,95.40,DANE-GEIH
Objetivo1,1.4   Para 2030 garantizar que todos los hombres y mujeres. particularmente los pobres y vulnerables. tengan los mismos derechos a recursos económicos. así como el acceso a servicios básicos. la propiedad y control de la tierra y otras formas de propiedad. la herencia. los recursos naturales. la nueva tecnología apropiada y los servicios financieros. incluyendo las microfinanciación,1.4.1.3 Proporción de personas que vive en hogares en cuyas viviendas cuentan con servicio de recolección de basuras,Barranquilla,99.10,DANE-GEIH
Objetivo1,1.4   Para 2030 garantizar que todos los hombres y mujeres. particularmente los pobres y vulnerables. tengan los mismos derechos a recursos económicos. así como el acceso a servicios básicos. la propiedad y control de la tierra y otras formas de propiedad. la herencia. los recursos naturales. la nueva tecnología apropiada y los servicios financieros. incluyendo las microfinanciación,1.4.1.4 Proporción de personas que vive en hogares en cuyas viviendas cuentan con servicio de electricidad,Barranquilla,99.90,DANE-GEIH
Objetivo1,1.5   Para 2030 erigir la resiliencia de los pobres y aquellos en situaciones vulnerables. y reducir su exposición y vulnerabilidad a los fenómenos climáticos extremos choques y desastres económicos. sociales y ambientales.,1.5.1.1 Muertos en desastres naturales,Barranquilla,1,UNGRD
Objetivo1,1.5   Para 2030 erigir la resiliencia de los pobres y aquellos en situaciones vulnerables. y reducir su exposición y vulnerabilidad a los fenómenos climáticos extremos choques y desastres económicos. sociales y ambientales.,1.5.1.2 Heridos en desastres naturales,Barranquilla,0,UNGRD
Objetivo1,1.5   Para 2030 erigir la resiliencia de los pobres y aquellos en situaciones vulnerables. y reducir su exposición y vulnerabilidad a los fenómenos climáticos extremos choques y desastres económicos. sociales y ambientales.,1.5.1.3 Desaparecidos en desastres naturales,Barranquilla,0,UNGRD
Objetivo1,1.5   Para 2030 erigir la resiliencia de los pobres y aquellos en situaciones vulnerables. y reducir su exposición y vulnerabilidad a los fenómenos climáticos extremos choques y desastres económicos. sociales y ambientales.,1.5.1.4 Personas afectadas por desastres naturales,Barranquilla,506,UNGRD
Objetivo1,1.5   Para 2030 erigir la resiliencia de los pobres y aquellos en situaciones vulnerables. y reducir su exposición y vulnerabilidad a los fenómenos climáticos extremos choques y desastres económicos. sociales y ambientales.,1.5.1.5 Familias afectadas por desastres naturales,Barranquilla,161,UNGRD
Objetivo1,a.       Asegurar una movilización significativa de recursos. de fuentes variadas incluyendo a través de la profundización de la cooperación para el desarrollo. para proveer medios adecuados y predecibles para los países en desarrollo. en particular PMA. para la implementación de programas y políticas para erradicar la pobreza en todas sus dimensiones.,1.a.1.1 Gasto en Sector Salud por SGP,Barranquilla,191802460,FUT
Objetivo1,a.       Asegurar una movilización significativa de recursos. de fuentes variadas incluyendo a través de la profundización de la cooperación para el desarrollo. para proveer medios adecuados y predecibles para los países en desarrollo. en particular PMA. para la implementación de programas y políticas para erradicar la pobreza en todas sus dimensiones.,1.a.1.2 Gasto en sector educación por SGP,Barranquilla,398896732,FUT
Objetivo1,a.       Asegurar una movilización significativa de recursos. de fuentes variadas incluyendo a través de la profundización de la cooperación para el desarrollo. para proveer medios adecuados y predecibles para los países en desarrollo. en particular PMA. para la implementación de programas y políticas para erradicar la pobreza en todas sus dimensiones.,1.a.1.3 Porcentaje de recursos propios ejecutados en sector Salud,Barranquilla,9.50,FUT
Objetivo1,a.       Asegurar una movilización significativa de recursos. de fuentes variadas incluyendo a través de la profundización de la cooperación para el desarrollo. para proveer medios adecuados y predecibles para los países en desarrollo. en particular PMA. para la implementación de programas y políticas para erradicar la pobreza en todas sus dimensiones.,1.a.1.4 Porcentaje de recursos propios ejecutados en sector educación,Barranquilla,6.50,FUT
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.1 Incidencia de pobreza monetaria extrema,Bogotá,"
2.0
",DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.2 Incidencia de pobreza monetaria extrema-Hombres,Bogotá,2.00,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.3 Incidencia de pobreza monetaria extrema-Mujeres,Bogotá,2.00,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.4 Incidencia de pobreza monetaria extrema-Menores de 25 años,Bogotá,2.70,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.5 Incidencia de pobreza monetaria extrema-Personas entre 25 y 65 años,Bogotá,1.50,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.6 Incidencia de pobreza monetaria extrema-Mayores de 65 años,Bogotá,1.70,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.7 Incidencia de pobreza monetaria extrema-Ocupados,Bogotá,0.80,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.8 Incidencia de pobreza monetaria extrema-Desocupados,Bogotá,6.70,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.9 Incidencia de pobreza monetaria extrema-Inactivos,Bogotá,2.80,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.2.1 Incidencia de pobreza monetaria,Bogotá,10.40,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.2 Incidencia de pobreza monetaria-Hombres,Bogotá,10.30,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.3 Incidencia de pobreza monetaria-Mujeres,Bogotá,10.60,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.4 Incidencia de pobreza monetaria-Menores de 25 años,Bogotá,14.70,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.5 Incidencia de pobreza monetaria-Personas entre 25 y 65 años,Bogotá,7.80,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.6 Incidencia de pobreza monetaria-Mayores de 65 años,Bogotá,6.70,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.7 Incidencia de pobreza monetaria-Ocupados,Bogotá,6.00,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.8 Incidencia de pobreza monetaria-Desocupados,Bogotá,18.50,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.9 Incidencia de pobreza monetaria-Inactivos,Bogotá,12.70,DANE
Objetivo1,1.2   Para 2030 reducir a menos de la mitad la proporción de hombres. mujeres y niños de todas las edades viviendo en la pobreza en todas sus dimensiones de acuerdo con las definiciones nacionales.,1.2.2.1 Índice de Pobreza Multidimensional,Bogotá,4.70,DANE
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.1. Porcentaje de población afiliada al sistema de salud,Bogotá,95.00,Ministerio de Salud-BDUA
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.2. Porcentaje de desocupados que reciben subsidio al desempleo,Bogotá,1.30,DANE-GEIH
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.3. Porcentaje de Ocupados afiliados a sistema de pensiones,Bogotá,52.60,DANE-GEIH
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.4. Porcentaje de ocupados afiliados a cajas de compensación familiar,Bogotá,45.80,DANE-GEIH
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.5. Porcentaje de ocupados afiliados a ARL,Bogotá,51.80,DANE-GEIH
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.6. Beneficiarios de programa Más Familias en Acción,Bogotá,69822,DNP
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.7. Beneficiarios de programa de cero a siempre,Bogotá,0,DNP
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.8. Beneficiarios de programa jóvenes en acción,Bogotá,19478,DNP
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.9. Beneficiarios de programa de adultos mayores Colombia mayor,Bogotá,47341,DNP
Objetivo1,1.4   Para 2030 garantizar que todos los hombres y mujeres. particularmente los pobres y vulnerables. tengan los mismos derechos a recursos económicos. así como el acceso a servicios básicos. la propiedad y control de la tierra y otras formas de propiedad. la herencia. los recursos naturales. la nueva tecnología apropiada y los servicios financieros. incluyendo las microfinanciación,1.4.1.1 Proporción de personas que vive en hogares en cuyas viviendas cuentan con servicio de Acueducto,Bogotá,99.60,DANE-GEIH
Objetivo1,1.4   Para 2030 garantizar que todos los hombres y mujeres. particularmente los pobres y vulnerables. tengan los mismos derechos a recursos económicos. así como el acceso a servicios básicos. la propiedad y control de la tierra y otras formas de propiedad. la herencia. los recursos naturales. la nueva tecnología apropiada y los servicios financieros. incluyendo las microfinanciación,1.4.1.2 Proporción de personas que vive en hogares en cuyas viviendas cuentan con servicio de Alcantarillado,Bogotá,99.50,DANE-GEIH
Objetivo1,1.4   Para 2030 garantizar que todos los hombres y mujeres. particularmente los pobres y vulnerables. tengan los mismos derechos a recursos económicos. así como el acceso a servicios básicos. la propiedad y control de la tierra y otras formas de propiedad. la herencia. los recursos naturales. la nueva tecnología apropiada y los servicios financieros. incluyendo las microfinanciación,1.4.1.3 Proporción de personas que vive en hogares en cuyas viviendas cuentan con servicio de recolección de basuras,Bogotá,100.00,DANE-GEIH
Objetivo1,1.4   Para 2030 garantizar que todos los hombres y mujeres. particularmente los pobres y vulnerables. tengan los mismos derechos a recursos económicos. así como el acceso a servicios básicos. la propiedad y control de la tierra y otras formas de propiedad. la herencia. los recursos naturales. la nueva tecnología apropiada y los servicios financieros. incluyendo las microfinanciación,1.4.1.4 Proporción de personas que vive en hogares en cuyas viviendas cuentan con servicio de electricidad,Bogotá,100.00,DANE-GEIH
Objetivo1,1.5   Para 2030 erigir la resiliencia de los pobres y aquellos en situaciones vulnerables. y reducir su exposición y vulnerabilidad a los fenómenos climáticos extremos choques y desastres económicos. sociales y ambientales.,1.5.1.1 Muertos en desastres naturales,Bogotá,0,UNGRD
Objetivo1,1.5   Para 2030 erigir la resiliencia de los pobres y aquellos en situaciones vulnerables. y reducir su exposición y vulnerabilidad a los fenómenos climáticos extremos choques y desastres económicos. sociales y ambientales.,1.5.1.2 Heridos en desastres naturales,Bogotá,3,UNGRD
Objetivo1,1.5   Para 2030 erigir la resiliencia de los pobres y aquellos en situaciones vulnerables. y reducir su exposición y vulnerabilidad a los fenómenos climáticos extremos choques y desastres económicos. sociales y ambientales.,1.5.1.3 Desaparecidos en desastres naturales,Bogotá,0,UNGRD
Objetivo1,1.5   Para 2030 erigir la resiliencia de los pobres y aquellos en situaciones vulnerables. y reducir su exposición y vulnerabilidad a los fenómenos climáticos extremos choques y desastres económicos. sociales y ambientales.,1.5.1.4 Personas afectadas por desastres naturales,Bogotá,1537,UNGRD
Objetivo1,1.5   Para 2030 erigir la resiliencia de los pobres y aquellos en situaciones vulnerables. y reducir su exposición y vulnerabilidad a los fenómenos climáticos extremos choques y desastres económicos. sociales y ambientales.,1.5.1.5 Familias afectadas por desastres naturales,Bogotá,300,UNGRD
Objetivo1,a.       Asegurar una movilización significativa de recursos. de fuentes variadas incluyendo a través de la profundización de la cooperación para el desarrollo. para proveer medios adecuados y predecibles para los países en desarrollo. en particular PMA. para la implementación de programas y políticas para erradicar la pobreza en todas sus dimensiones.,1.a.1.1 Gasto en Sector Salud por SGP,Bogotá,488494365,FUT
Objetivo1,a.       Asegurar una movilización significativa de recursos. de fuentes variadas incluyendo a través de la profundización de la cooperación para el desarrollo. para proveer medios adecuados y predecibles para los países en desarrollo. en particular PMA. para la implementación de programas y políticas para erradicar la pobreza en todas sus dimensiones.,1.a.1.2 Gasto en sector educación por SGP,Bogotá,"1,726,338,796.00",FUT
Objetivo1,a.       Asegurar una movilización significativa de recursos. de fuentes variadas incluyendo a través de la profundización de la cooperación para el desarrollo. para proveer medios adecuados y predecibles para los países en desarrollo. en particular PMA. para la implementación de programas y políticas para erradicar la pobreza en todas sus dimensiones.,1.a.1.3 Porcentaje de recursos propios ejecutados en sector Salud,Bogotá,11.70,FUT
Objetivo1,a.       Asegurar una movilización significativa de recursos. de fuentes variadas incluyendo a través de la profundización de la cooperación para el desarrollo. para proveer medios adecuados y predecibles para los países en desarrollo. en particular PMA. para la implementación de programas y políticas para erradicar la pobreza en todas sus dimensiones.,1.a.1.4 Porcentaje de recursos propios ejecutados en sector educación,Bogotá,74.20,FUT
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.1 Incidencia de pobreza monetaria extrema,Cali,3.40,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.2 Incidencia de pobreza monetaria extrema-Hombres,Cali,3.10,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.3 Incidencia de pobreza monetaria extrema-Mujeres,Cali,3.70,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.4 Incidencia de pobreza monetaria extrema-Menores de 25 años,Cali,4.80,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.5 Incidencia de pobreza monetaria extrema-Personas entre 25 y 65 años,Cali,2.40,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.6 Incidencia de pobreza monetaria extrema-Mayores de 65 años,Cali,2.70,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.7 Incidencia de pobreza monetaria extrema-Ocupados,Cali,1.60,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.8 Incidencia de pobreza monetaria extrema-Desocupados,Cali,7.50,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.9 Incidencia de pobreza monetaria extrema-Inactivos,Cali,4.00,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.2.1 Incidencia de pobreza monetaria,Cali,16.50,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.2 Incidencia de pobreza monetaria-Hombres,Cali,15.40,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.3 Incidencia de pobreza monetaria-Mujeres,Cali,17.60,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.4 Incidencia de pobreza monetaria-Menores de 25 años,Cali,23.30,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.5 Incidencia de pobreza monetaria-Personas entre 25 y 65 años,Cali,12.40,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.6 Incidencia de pobreza monetaria-Mayores de 65 años,Cali,10.40,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.7 Incidencia de pobreza monetaria-Ocupados,Cali,10.20,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.8 Incidencia de pobreza monetaria-Desocupados,Cali,27.30,DANE
Objetivo1,1.1   Para 2030 erradicar la pobreza extrema para todas las personas en todas partes. medida actualmente como personas que viven con menos de 1.25 por día.,1.1.1.9 Incidencia de pobreza monetaria-Inactivos,Cali,18.20,DANE
Objetivo1,1.2   Para 2030 reducir a menos de la mitad la proporción de hombres. mujeres y niños de todas las edades viviendo en la pobreza en todas sus dimensiones de acuerdo con las definiciones nacionales.,1.2.2.1 Índice de Pobreza Multidimensional,Cali,No Disponible,DANE
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.1. Porcentaje de población afiliada al sistema de salud,Cali,94.00,Ministerio de Salud-BDUA
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.2. Porcentaje de desocupados que reciben subsidio al desempleo,Cali,0.70,DANE-GEIH
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.3. Porcentaje de Ocupados afiliados a sistema de pensiones,Cali,45.50,DANE-GEIH
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.4. Porcentaje de ocupados afiliados a cajas de compensación familiar,Cali,39.10,DANE-GEIH
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.5. Porcentaje de ocupados afiliados a ARL,Cali,47.60,DANE-GEIH
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.6. Beneficiarios de programa Más Familias en Acción,Cali,37801,DNP
Objetivo1,1.3   Implementar sistemas y medidas de protección social adecuadas a nivel nacional para todos.  y para 2030 lograr una cobertura sustancial de los pobres y vulnerables.,1.3.1.7. Beneficiarios de programa de cero a siempre,Cali,25045,DNP
