Metas,Indicadores,Fuente,Barranquilla,Bogotá,Cali,Cartagena,Cúcuta,Ibagué,Manizales,Medellín,Pereira,Yumbo,Bucaramanga Metropolitana
3.4   Para 2030 reducir en un tercio la mortalidad prematura por enfermedades no transmisibles (ENT). mediante la prevención y el tratamiento. y promover la salud y el bienestar mental.,3.4.1.3 Tasa de mortalidad por diabetes por cada 100.000 habitantes,DANE,18.14,10.92,22.83,13.48,26.92,20.6,15.91,11.08,22.57,23.9,24.4
3.4   Para 2030 reducir en un tercio la mortalidad prematura por enfermedades no transmisibles (ENT). mediante la prevención y el tratamiento. y promover la salud y el bienestar mental.,3.4.1.4 Prevalencia de actividad física global (tiempo libre + transporte),ENSIN (2010),47.30,57.80,50.40,No Disponible,No Disponible,No Disponible,No Disponible,42.30,No Disponible,No Disponible,No Disponible
3.4   Para 2030 reducir en un tercio la mortalidad prematura por enfermedades no transmisibles (ENT). mediante la prevención y el tratamiento. y promover la salud y el bienestar mental.,3.4.1.4 Prevalencia en consumo de frutas.,ENSIN (2010),64.70,74.40,79.60,No Disponible,No Disponible,No Disponible,No Disponible,63.20,No Disponible,No Disponible,No Disponible
3.4   Para 2030 reducir en un tercio la mortalidad prematura por enfermedades no transmisibles (ENT). mediante la prevención y el tratamiento. y promover la salud y el bienestar mental.,3.4.2.1 Tasa de suicidios por cada 100.000 habitantes,Medicina Legal,3.61,3.53,2.24,2.5,3.69,6.14,7.83,6.05,5.96,"
2.56	",4.1
3.5   Fortalecer la prevención y el tratamiento del abuso de sustancias. incluido el abuso de estupefacientes y el uso nocivo del alcohol.,3.5.1.1 Cobertura de intervenciones de tratamiento por trastorno de uso indebido de drogas., ,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible
3.5   Fortalecer la prevención y el tratamiento del abuso de sustancias. incluido el abuso de estupefacientes y el uso nocivo del alcohol.,3.5.2.1 Proporción de personas con consumo perjudicial de alcohol, ,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible
3.6   Para el año 2020 reducir a la mitad las muertes y lesiones globales por accidentes de tránsito.,3.6.1 Tasa de mortalidad por accidentes de tránsito por cada 100.000 habitantes,Medicina Legal,8.21,6.99,16.03,9.18,10.31,9.94,11.11,11.16,15.33,"
23.05	",10.86
3.7   Para 2030 asegurar el acceso universal a servicios de salud sexual y reproductiva. incluida la planificación familiar. la información y la educación. y la integración de la salud reproductiva en las estrategias y programas nacionales.,3.7.1.1 Porcentaje de  mujeres entre 15 y 49 años que utiliza actualmente métodos anticonceptivos modernos,ENDS (2010),No Disponible,75.70,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible
3.7   Para 2030 asegurar el acceso universal a servicios de salud sexual y reproductiva. incluida la planificación familiar. la información y la educación. y la integración de la salud reproductiva en las estrategias y programas nacionales.,3.7.1.2 Porcentaje de  hombre entre 15 y 49 años que utiliza métodos anticonceptivos modernos, ,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible
3.7   Para 2030 asegurar el acceso universal a servicios de salud sexual y reproductiva. incluida la planificación familiar. la información y la educación. y la integración de la salud reproductiva en las estrategias y programas nacionales.,3.7.2.1 Tasa de fecundidad en mujeres de 10 a 14 años,DANE,3.6,1.2,2,3.9,2.3,2.1,1.6,3.5,2.1,"
1.6
	",1.5
3.7   Para 2030 asegurar el acceso universal a servicios de salud sexual y reproductiva. incluida la planificación familiar. la información y la educación. y la integración de la salud reproductiva en las estrategias y programas nacionales.,3.7.2.2 Tasa de fecundidad en mujeres de 15 a 19 años,DANE,84.9,48.3,44.8,77.9,59.8,58.7,40.4,63,56.5,43.7,63.9
3.8   Lograr la cobertura universal de salud (UHC por sus siglas en inglés). incluyendo la protección del riesgo financiero. el acceso a servicios de salud esenciales de calidad. y el acceso a métodos seguros. eficaces. de calidad. y asequibles de medicamentos esenciales y vacunas para todos.,3.8.1.1 Cobertura en vacunación (BCG) en recién nacidos,Ministerio de Salud,Pendiente,107.40,Pendiente,Pendiente,Pendiente,96.90,Pendiente,Pendiente,Pendiente,Pendiente,"Pendiente
"
3.8   Lograr la cobertura universal de salud (UHC por sus siglas en inglés). incluyendo la protección del riesgo financiero. el acceso a servicios de salud esenciales de calidad. y el acceso a métodos seguros. eficaces. de calidad. y asequibles de medicamentos esenciales y vacunas para todos.,3.8.1.2 Cobertura en vacunación (Triple Viral) en menores de un año,Ministerio de Salud,Pendiente,98.00,Pendiente,Pendiente,Pendiente,96.10,Pendiente,Pendiente,Pendiente,Pendiente,"Pendiente
"
3.8   Lograr la cobertura universal de salud (UHC por sus siglas en inglés). incluyendo la protección del riesgo financiero. el acceso a servicios de salud esenciales de calidad. y el acceso a métodos seguros. eficaces. de calidad. y asequibles de medicamentos esenciales y vacunas para todos.,3.8.1.3 Porcentaje de nacidos vivos con al menos un control prenatal, ,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,"No Disponible
"
3.8   Lograr la cobertura universal de salud (UHC por sus siglas en inglés). incluyendo la protección del riesgo financiero. el acceso a servicios de salud esenciales de calidad. y el acceso a métodos seguros. eficaces. de calidad. y asequibles de medicamentos esenciales y vacunas para todos.,3.8.1.4 Porcentaje de menores de 10 años que han recibido al menos dos consultas de crecimiento y desarrollo durante el último año, ,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,"No Disponible
"
3.8   Lograr la cobertura universal de salud (UHC por sus siglas en inglés). incluyendo la protección del riesgo financiero. el acceso a servicios de salud esenciales de calidad. y el acceso a métodos seguros. eficaces. de calidad. y asequibles de medicamentos esenciales y vacunas para todos.,3.8.2.1 Porcentaje de población afiliada al sistema de  salud,Ministerio de Salud,120.70,96.00,94.00,106.10,114.10,95.50,98.00,102.10,103.30,84.40,"102.3
"
a.       Fortalecer la aplicación del Convenio Marco para el Control del Tabaco en todos los países. según corresponda.,3.a.1.1 Prevalencia estandarizada por edad del consumo de tabaco entre las personas mayores de 15 años, ,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,No Disponible,"No Disponible
"
