Variable,Indicador,Fuente,Tipo_Unidad_Medida,Unidad_medida,Capítulo (Red Cómo Vamos),Anillo,Capitulo (Bogotá),Entidad responsable,Metodo de recolección ,Descripción del indicador ,Observaciones
02-p-007,Tasa de trabajo infantil,DANE,Porcentaje,Porción,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,DANE,Encuesta,"Expresa la relación entre los niños, niñas y adolescentes de 5 a 17 años de edad, que trabajan, con respecto a la población total en este grupo de edad, por 100.",.
02-p-015,Porcentaje de hogares con jefatura femenina ,DANE,Porcentaje,Porción,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,DANE,Encuesta,Expresa el porcentaje de hogares de la ciudad con jefatura femenina ,.
02-p-016,Porcentaje de hogares que posee computador,DANE,Porcentaje,Porción,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,DANE,Encuesta,Expresa el porcentaje de hogares de la ciudad que posee computador,.
03-s-013,Cobertura de vacunación con anti haemophilus influenzae tipo B en menores de un año,Secretaría de Salud,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Expresa el porcentaje de niños menores de un año vacunados con haemophilus influenza tipo B con relación al total de niños menores de un año. ,.
03-s-014,Cobertura de vacunación con antipolio en menores de un año,Secretaría de Salud,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Expresa el porcentaje de terceras dosis de antipolio aplicadas en menores de un año con relación al total de niños menores de un año.,.
03-s-015,Cobertura de vacunación con BCG en niños menores de un año,Secretaría de Salud,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Expresa el porcentaje de niños menores de un año vacunados con BCG con relación al total de niños menores de un año.,.
03-s-009,Cobertura en vacunación con Triple Viral,Secretaría de Salud,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Expresa el porcentaje de dosis de Triple viral aplicadas en niños de un año con relación al total de niños de un año.,.
03-s-008,Cobertura en vacunación  DTP tercera dosis,Secretaría de Salud,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Expresa el procentaje de terceras dosis de DPT en menores de un año con relación al total de niños menores de un año.,.
03-s-016,Cobertura de vacunación contra fiebre amarilla en niños de un año de edad,Secretaría de Salud,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Expresa el procentaje de dosis de fiebre amarilla aplicadas en niños de 1 año con relación al total de niños de un año.,.
03-s-017,Cobertura de vacunación contra hepatitis B en menores de un año,Secretaría de Salud,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Expresa el porcentaje de terceras dosis de Hepatitis B en menores de 1 año con relación al total de niños menores de un año.,.
03-s-012,Porcentaje de desnutrición crónica en menores de 5 años,Secretarías de Salud de cada ciudad,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,"Es el retardo de altura para la edad (A/E). Asociada normalmente a situaciones de pobreza, con consecuencias para el aprendizaje y menos desempeño económico. ",.
03-s-018,Tasa de desnutrición global para menores de 5 años (prevalencia),Secretarías de Salud de cada ciudad,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Porcentaje de niños menores de 5 años que muestran indicios de desnutrición crónica ó baja talla y/o peso para su edad.,.
03-s-019,Nacimientos en adolescentes de 10 a 14 años,Secretarías de Salud de cada ciudad,Número,Nacimientos,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Número absoluto de nacimientos en adolescentes entre 10 y 14 años en el período.,.
03-s-020,Nacimientos en adolescentes de 15 a 19 años,Secretarías de Salud de cada ciudad,Número,Nacimientos,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Número absoluto de nacimientos en adolescentes entre 15 y 19 años en el período.,.
03-s-021,Número de personas afiliadas al régimen subsidiado (Subsidio pleno),Secretarías de Salud de cada ciudad,Número,Personas,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,"N° de personas afiliadas al Régimen subsidiado en salud (subsidio pleno, niveles I,II Sisben)",.
03-s-022,Cobertura de población afiliada al régimen subsidiado en total de la población,Secretarías de Salud de cada ciudad,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Personas afiliadas al Régimen Subsidiado por localidad multiplicado por 100 / personas por localidad según censo.,.
03-s-023,Porcentaje de personas vinculadas pero no afiliadas,Secretarías de Salud de cada ciudad,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Porcentaje de personas que no cuentan con aseguramiento de ningún tipo,.
03-s-024,Cobertura al régimen contributivo,Secretarías de Salud de cada ciudad,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Mide la población afiliada al Régimen Contributivo de Salud  sobre el  total de la población,.
03-s-025,Cobertura al régimen de excepción ,Secretarías de Salud de cada ciudad,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Mide la población afiliada al Régimen Contributivo de Salud  sobre el  total de la población,.
03-s-026,Mediana de lactancia materna,Secretarías de Salud de cada ciudad,Número,Meses,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Es el punto medio en el número de meses que las mujeres que habían tenido un hijo en los últimos 5 años han proporcionado a sus hijos leche materna de manera exclusiva.,.
03-s-005,Tasa de mortalidad materna,DANE,Tasa,Por cada 100.000 nacidos vivos,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Número de Muertes Maternas (Directas E Indirectas) con relación al número de Nacimientos Vivos por 100.000,En base de Red está por cada 1000 nacidos
03-s-006,Porcentaje de nacidos vivos con bajo peso al nacer,DANE,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Es el número de nacidos vivos con peso al nacer inferior a 2500 grm con relación al total de nacidos vivos por 100,.
03-s-011,Tasa de mortalidad en menores de 5 años,DANE,Tasa,Por cada 10.000 nacidos vivos,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Número de muertes en menores de cinco años con relación a la población menor de cinco años para el período por cada 10.020,En base de Red está por cada 1000 nacidos
03-s-010,Tasa de mortalidad en menores de 1 año,DANE,Tasa,Por cada 1000 nacidos vivos,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Número de muertes en menores de un año con relación al número de nacidos vivos por cada 1.020,.
03-s-027,Tasa de mortalidad perinatal por 1.000 nacidos vivos,DANE,Tasa,Por cada 1000 nacidos vivos,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Número de muertes en menores de un año con relación al número de nacidos vivos por 1.020,.
03-s-028,Tasa de mortalidad por desnutrición en niños y niñas menores de cinco años (por 100.000 menores de cinco años),DANE,Tasa,Por cada 100.000 menores,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,"Número de muertes asociadas a deficiencias nutricionales en los menores de cinco años en un periodo de tiempo x 100,000 / Población menor de cinco años para el período.",.
03-s-029,Tasa de mortalidad por enfermedad diarreica aguda EDA por 100.000 menores de cinco años,DANE,Tasa,Por cada 100.000 menores,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Número de muertes por enfermedad diarreica aguda en menores de cinco años por cada 100.000 menores de cinco años para el periodo / Población menor de cinco años para el periodo.,.
03-s-030,Tasa de mortalidad  por Infeccion Respiratoria Aguda IRA por 100.000 menores de cinco años,DANE,Tasa,Por cada 100.000 menores,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Número de muertes por infección respiratoria aguda en menores de cinco años por cada 100.000 menores de cinco años para el periodo / Población menor de cinco años para el periodo.,.
03-s-031,Tasa de mortalidad por neumonía por 100.000 menores de cinco años,DANE,Tasa,Por cada 100.000 menores,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Número de muertes por infección respiratoria aguda en menores de cinco años por cada 100.000 menores de cinco años para el periodo / Población menor de cinco años para el periodo.,.
03-s-032,"Incidencia del VIH * 100,000 hab",Secretaría de Salud,Tasa,Por cada 100.000 habitantes,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Mide el número de habitantes con VIH sobre el total de habitantes por cada 100.000,.
03-s-033,Mortalidad por cáncer de mama (número de casos),Secretaría de Salud,Número,Casos,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Mide el numero de mujeres fallecidas como consecuencia de Tumor Maligno mama ,.
03-s-034,Mortalidad por cáncer de útero por cada 100.000 mujeres,Secretaría de Salud,Tasa,Por Cada 100.000 mujeres,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Expresa la mortalidad por cáncer de útero por cada 100.000 mujeres,.
03-s-035,Consumo de sustancias psicoactivas,Secretaría de Salud,Número,Casos de Abuso,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Mide el número de casos de abuso de sustancias psicoactivas ,.
03-s-036,Número de Camas hospitalarias por 1.000_x000D_ habitantes.,Secretaría de Salud,Tasa,Por cada 100.000 habitantes,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Mide el número de camas disponibles en red adscrita y no adscrita a razón por 1.000 habitantes.,.
03-s-037,Número de ambulancias por cada 100.000 habitantes.,Secretaría de Salud,Tasa,Por cada 100.000 habitantes,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Mide el número de ambuklancias disponibles en red adscrita y no adscrita a razón por 100.000 habitantes.,.
03-s-038,Cinco primeras causas de morbilidad atendida en consulta externa red adscrita,Secretaría de Salud,Texto,Causas de Mortalidad,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Expresa las cinco primeras causas de morbilidad atendida en consulta externa red adscrita en la ciudad.,.
03-s-039,Cinco primeras causas de morbilidad atendida en consulta externa red NO adscrita,Secretaría de Salud,Texto,Causas de Mortalidad,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Expresa las cinco primeras causas de morbilidad atendida en consulta externa red NO adscrita en la ciudad.,.
04-e-012,Tasa global de cobertura bruta en educación,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Mide la población matriculada sobre el total población en edad escolar (5 a 16 años),.
04-e-001,Tasa de cobertura bruta en educación inicial,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Mide la población matriculada en educación inicial menores a 5 años sobre el  población de 3 a 5 años,.
04-e-013,Tasa bruta de cobertura Preescolar (5 años),Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Población matriculada en el nivel / población que tiene la edad apropiada para cursar el nivel * 100,.
04-e-014,Tasa bruta de cobertura básica primaria,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Estudiantes matriculados en el nivel primaria / población en edad escolar para dicho nivel *100,.
04-e-015,Tasa bruta de cobertura en básica secundaria,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Estudiantes matriculados en el nivel secundaria / población en edad escolar para dicho nivel * 100,.
04-e-016,Tasa bruta de cobertura en media vocacional,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Estudiantes matriculados en el nivel media vocacional / población en edad escolar para dicho nivel * 100,.
04-e-017,Tasa  de cobertura en educación en técnica,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Mide la población matriculada en carreras técnicas sobre la población de 17 a 24 años,.
04-e-018,Tasa global de cobertura neta ajustada,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Estudiantes matriculados que tienen la edad ideal para cursarlo / población en edad escolar * 100,.
04-e-002,Tasa de cobertura neta en básica preescolar,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Estudiantes matriculados que tienen la edad ideal para cursarlo / población en edad escolar según el nivel educativo * 100,.
04-e-003,Tasa de cobertura neta en básica primaria,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Mide la población matriculada en educación primaria (grados 1º a 5º)  sobre la población de 6 a 10 años,.
04-e-004,Tasa de cobertura neta en básica secundaria,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Mide la población matriculada en educación secundaria (grados 6º a 9º) de 11 a 14 años sobre la población de 11 a 14 años,.
04-e-005,Tasa de cobertura neta en media vocacional,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Mide la población matriculada en educación media (grados 10º y 11º) de 15 a 16 años de edad  sobre la  población de 15 a 16 años,.
04-e-019,Población en edad escolar de 5 a 16 años por localidades,DANE,Número,Personas,1. Demografía,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Expresa el número de niños y niñas en edad escolar de 5 a 16 años.,.
04-e-020,Matricula oficial primera infancia grado pre-jardín,Secretaría de Educación,Número,Personas,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Expresa el número de niños y niñas de primera infancia matriculados en el sector oficial en el grado jardín.,.
04-e-021,Matricula privada primera infancia grado pre-jardín,Secretaría de Educación,Número,Personas,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Expresa el número de niños y niñas de primera infancia matriculados en el sector privado en el grado jardín.,.
04-e-022,Matricula oficial primera infancia grado jardín,Secretaría de Educación,Número,Personas,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Expresa el número de niños y niñas de primera infancia matriculados en el sector oficial en el grado pre-jardín.,.
04-e-023,Matricula privada primera infancia grado jardín,Secretaría de Educación,Número,Personas,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Expresa el número de niños y niñas de primera infancia matriculados en el sector privado en el grado pre-jardín.,.
04-e-024,Matricula oficial primera infancia grado transición ,Secretaría de Educación,Número,Personas,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Expresa el número de niños y niñas de primera infancia matriculados en el sector oficial en el grado transición.,.
04-e-025,Matricula Privada primera infancia grado transición ,Secretaría de Educación,Número,Personas,4. Educación,Activos de las personas,4. Educación,"Secretaría de Educación. Oficina Asesora de Planeación - Grupo Gestión de la Información. Matrícula privada con metodología de imputación de datos  del aplicativo Registro de Información Estadística SED año 2014, con fecha de corte: 31 de marzo de 2014",Registro Administrativo,Expresa el número de niños y niñas de primera infancia matriculados en el sector privado en este nivel,.
04-e-027,Matricula oficial primera infancia total ,Secretaría de Educación,Número,Personas,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Expresa el número de niños y niñas de primera infancia matriculados en el sector oficial en el grado transicion.,.
04-e-028,Matricula Privada primera infancia total ,Secretaría de Educación,Número,Personas,4. Educación,Activos de las personas,4. Educación,"Secretaría de Educación. Oficina Asesora de Planeación - Grupo Gestión de la Información. Matrícula privada con metodología de imputación de datos  del aplicativo Registro de Información Estadística SED año 2014, con fecha de corte: 31 de marzo de 2014",Registro Administrativo,Expresa el número de niños y niñas de primera infancia matriculados en el sector privado en este nivel,.
04-e-007,"Tasa de deserción educación preescolar, básica primaria, básica secundaria y media vocacional pública",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Encuesta C-600,Número de niños que  abandonan el colegio / matricula año inmediatamente anterior,.
04-e-029,"Tasa de deserción educación preescolar, básica primaria, básica secundaria y media vocacional privada",Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Mide los estudiantes vinculados al sistema educativo privado, en un año determinado, que abandonan el sistema educativo en el transcurso del año o al término del mismo sobre la población vinculada formalmente al sistema educativo",.
04-e-030,Tasa de deserción educación preescolar pública,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Mide los estudiantes vinculados al sistema educativo (público y privado), en un año determinado, que abandonan el sistema educativo en el transcurso del año o al término del mismo en el grado preescolar. ",.
04-e-031,Tasa  de Deserción para el Sector Privado Preescolar,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación. Oficina Asesora de Planeación - Grupo Gestión de la Información. Registro de Información  Estadística SED año 2014. Nota: El cálculo Incluye sólo la jornada diurna de los establecimientos de educación formal regular.,Registro Administrativo,"Mide los estudiantes vinculados al sistema educativo privado, en un año determinado, que abandonan el sistema educativo en el transcurso del año o al término del mismo en el grado preescolar. ",.
04-e-032,Tasa de deserción educación primaria pública,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,"Mide los estudiantes vinculados al sistema educativo (público y privado), en un año determinado, que abandonan el sistema educativo en el transcurso del año o al término del mismo en el grado primaria. ",.
