Variable,ID,Indicador,Fuente,Tipo_Unidad_Medida,Unidad_medida,Capítulo..Red.Cómo.Vamos.,Anillo,Capitulo..Bogotá.,Entidad.responsable,Metodo.de.recolección,Descripción.del.indicador,Observaciones,ctype
01-d-014,v1_d_014,Tasa de Dependencia,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Encuesta,Mide la relación de las personas dependientes (0 a 14 años + personas de 65 años y más) sobre las personas en edad activa (personas de 15 a 64 años).,.,Nu
01-d-015,v1_d_015,Tasa de Dependencia hombres,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Encuesta,Mide la relación de las personas dependientes hobres (0 a 14 años + personas de 65 años y más) sobre las personas en edad activa (personas de 15 a 64 años).,.,Nu
01-d-016,v1_d_016,Tasa de Dependencia mujeres,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Encuesta,Mide la relación de las personas dependientes mujeres (0 a 14 años + personas de 65 años y más) sobre las personas en edad activa (personas de 15 a 64 años).,.,Nu
01-d-017,v1_d_017,Porcentaje de Población Indígena,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Mide el porcentaje de la población indígena,Solo Disponible para el censo 2005,Nu
01-d-018,v1_d_018,Porcentaje de Población Afrodescendientes,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Mide el porcentaje de la población  afrodescendiente,Solo Disponible para el censo 2005,Nu
01-d-019,v1_d_019,Esperanza de vida al nacer,Secretaría Distrital de Planeación,Número,Años,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital de Planeación,Encuesta,Mide el número promedio de años que vivirían los integrantes de una cohorte hipotética de personas que permaneciese sujeta a la mortalidad imperante en la población en estudio desde su nacimiento hasta su extinción.,.,Nu
01-d-020,v1_d_020,Esperanza de vida al nacer Hombres,Secretaría Distrital de Planeación,Número,Años,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital de Planeación,Censo,Número promedio de años que viviría un hombre siempre y cuando se mantengan las tendencias de mortalidad existentes en un determinado período,.,Nu
01-d-021,v1_d_021,Esperanza de vida al nacer Mujeres,Secretaría Distrital de Planeación,Número,Años,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital de Planeación,Censo,Número promedio de años que viviría una mujer siempre y cuando se mantengan las tendencias de mortalidad existentes en un determinado período,.,Nu
02-p-004,v2_p_004,coeficiente de Gini de los ingresos,DANE,Número,Coeficiente de GINI,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,DANE,Encuesta,"Mide el grado de desigualdad de la distribución del ingreso o la desigualdad de la riqueza de un espacio territorial. Toma valores entre 0 y 1, donde 0 indica que todos los individuos tienen el mismo ingreso y 1 indica que sólo un individuo tiene todo el ingreso.",.,Nu
02-p-009,v2_p_009,Coeficiente de Gini Bogotá Multipróposito,DANE,Número,Coeficiente de GINI,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,Secretaría Distrital de Planeación,Encuesta,"Mide el grado de desigualdad de la distribución del ingreso o la desigualdad de la riqueza de un espacio territorial. Toma valores entre 0 y 1, donde 0 indica que todos los individuos tienen el mismo ingreso y 1 indica que sólo un individuo tiene todo el ingreso.",.,Nu
02-p-010,v2_p_010,Índice de condiciones de vida ICV Multipropósito,DANE,Número,ICV. Valor de 0 a 100,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,Secretaría Distrital de Planeación,Encuesta,"Este índice asigna a cada hogar un puntaje que varía entre 0 y 100, aumentando cuando mejoran las condiciones de vida del hogar, es decir, que a mayor puntaje, mejores condiciones de vida de la población analizada.",.,Nu
02-p-011,v2_p_011,Índice de Pobreza Multidimensional Bogotá,DANE,Porcentaje,Porción,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,Secretaría Distrital de Planeación,Encuesta,"Refleja las carencias – Privaciones – en las condiciones básicas que requieren los hogares o personas de una sociedad para alcanzar el bienestar.  Se construye con base a cinco dimensiones: las condiciones educativas del hogar, las condiciones de la niñez y la juventud, la salud, el trabajo, el acceso a los servicios públicos domiciliarios y las condiciones de la vivienda. Estas 5 dimensiones involucran 15 indicadores, obtenidos a través de la Encuesta Nacional de Calidad de Vida. Según el resultado del índice son considerados pobres los hogares que tengan privación en por lo menos 5 de los 15 indicadores.",.,Nu
02-p-012,v2_p_012,Índice de Pobreza Multidimensional Multipropósito,DANE,Porcentaje,Porción,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,Secretaría Distrital de Planeación,Encuesta,"Refleja las carencias – Privaciones – en las condiciones básicas que requieren los hogares o personas de una sociedad para alcanzar el bienestar.  Se construye con base a cinco dimensiones: las condiciones educativas del hogar, las condiciones de la niñez y la juventud, la salud, el trabajo, el acceso a los servicios públicos domiciliarios y las condiciones de la vivienda. Estas 5 dimensiones involucran 15 indicadores, obtenidos a través de la Encuesta Nacional de Calidad de Vida. Según el resultado del índice son considerados pobres los hogares que tengan privación en por lo menos 5 de los 15 indicadores.",.,Nu
02-p-002,v2_p_002,Incidencia pobreza monetaria extrema,DANE,Porcentaje,Porción,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,DANE,Encuesta,Mide el porcentaje de personas que no alcanzan a cubrir el costo mensual  de una canasta alimentaria mínima que garantice un adecuado consumo calórico. Está expresada como el costo mínimo de una canasta (valor definido para Bogota) para satisfacer un umbral mínimo de necesidades nutricionales.,.,Nu
02-p-013,v2_p_013,Población bajo la línea de indigencia Bogotá Multipropósito,DANE,Porcentaje,Porción,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,DANE,Encuesta,Mide el porcentaje de personas que no alcanzan a cubrir el costo mensual  de una canasta alimentaria mínima que garantice un adecuado consumo calórico. Está expresada como el costo mínimo de una canasta (valor definido para Bogota) para satisfacer un umbral mínimo de necesidades nutricionales.,.,Ca
02-p-001,v2_p_001,Incidencia pobreza monetaria,DANE,Porcentaje,Porción,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,DANE,Encuesta,Mide el porcentaje de personas que no alcanzan a cubrir los costos totales de todos los bienes y servicios esenciales que una persona consume en un determinado periodo. Identifica a las personas que carecen de los ingresos suficientes para adquirir un conjunto de bienes y servicios destinados a satisfacer sus necesidades elementales.,.,Nu
02-p-014,v2_p_014,Población bajo la línea de pobreza Bogotá Multipropósito,DANE,Porcentaje,Porción,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,DANE,Encuesta,Mide el porcentaje de personas que no alcanzan a cubrir los costos totales de todos los bienes y servicios esenciales que una persona consume en un determinado periodo,.,Nu
02-p-007,v2_p007,Tasa de trabajo infantil,DANE,Porcentaje,Porción,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,DANE,Encuesta,"Expresa la relación entre los niños, niñas y adolescentes de 5 a 17 años de edad, que trabajan, con respecto a la población total en este grupo de edad, por 100.",.,Nu
02-p-015,v2_p_015,Porcentaje de hogares con jefatura femenina,DANE,Porcentaje,Porción,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,DANE,Encuesta,Expresa el porcentaje de hogares de la ciudad con jefatura femenina,.,Nu
02-p-016,v2_p_016,Porcentaje de hogares que posee computador,DANE,Porcentaje,Porción,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,DANE,Encuesta,Expresa el porcentaje de hogares de la ciudad que posee computador,.,Nu
03-s-013,v3_s_013,Cobertura de vacunación con anti haemophilus influenzae tipo B en menores de un año,Secretaría de Salud,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Expresa el porcentaje de niños menores de un año vacunados con haemophilus influenza tipo B con relación al total de niños menores de un año.,.,Nu
03-s-014,v3_s_014,Cobertura de vacunación con antipolio en menores de un año,Secretaría de Salud,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Expresa el porcentaje de terceras dosis de antipolio aplicadas en menores de un año con relación al total de niños menores de un año.,.,Nu
03-s-015,v3_s_015,Cobertura de vacunación con BCG en niños menores de un año,Secretaría de Salud,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Expresa el porcentaje de niños menores de un año vacunados con BCG con relación al total de niños menores de un año.,.,Nu
03-s-009,v3_s_009,Cobertura en vacunación con Triple Viral,Secretaría de Salud,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Expresa el porcentaje de dosis de Triple viral aplicadas en niños de un año con relación al total de niños de un año.,.,Nu
03-s-008,v3_s_008,Cobertura en vacunación  DTP tercera dosis,Secretaría de Salud,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Expresa el procentaje de terceras dosis de DPT en menores de un año con relación al total de niños menores de un año.,.,Nu
03-s-016,v3_s_016,Cobertura de vacunación contra fiebre amarilla en niños de un año de edad,Secretaría de Salud,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Expresa el procentaje de dosis de fiebre amarilla aplicadas en niños de 1 año con relación al total de niños de un año.,.,Nu
03-s-017,v3_s_017,Cobertura de vacunación contra hepatitis B en menores de un año,Secretaría de Salud,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Expresa el porcentaje de terceras dosis de Hepatitis B en menores de 1 año con relación al total de niños menores de un año.,.,Nu
03-s-012,v3_s_012,Porcentaje de desnutrición crónica en menores de 5 años,Secretarías de Salud de cada ciudad,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,"Es el retardo de altura para la edad (A/E). Asociada normalmente a situaciones de pobreza, con consecuencias para el aprendizaje y menos desempeño económico.",.,Nu
03-s-018,v3_s_018,Tasa de desnutrición global para menores de 5 años (prevalencia),Secretarías de Salud de cada ciudad,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Porcentaje de niños menores de 5 años que muestran indicios de desnutrición crónica ó baja talla y/o peso para su edad.,.,Nu
03-s-019,v3_s_019,Nacimientos en adolescentes de 10 a 14 años,Secretarías de Salud de cada ciudad,Número,Nacimientos,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Número absoluto de nacimientos en adolescentes entre 10 y 14 años en el período.,.,Nu
03-s-020,v3_s_020,Nacimientos en adolescentes de 15 a 19 años,Secretarías de Salud de cada ciudad,Número,Nacimientos,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Número absoluto de nacimientos en adolescentes entre 15 y 19 años en el período.,.,Nu
03-s-021,v3_s_021,Número de personas afiliadas al régimen subsidiado (Subsidio pleno),Secretarías de Salud de cada ciudad,Número,Personas,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,"N° de personas afiliadas al Régimen subsidiado en salud (subsidio pleno, niveles I,II Sisben)",.,Nu
03-s-022,v3_s_022,Cobertura de población afiliada al régimen subsidiado en total de la población,Secretarías de Salud de cada ciudad,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Personas afiliadas al Régimen Subsidiado por localidad multiplicado por 100 / personas por localidad según censo.,.,Nu
03-s-023,v3_s_023,Porcentaje de personas vinculadas pero no afiliadas,Secretarías de Salud de cada ciudad,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Porcentaje de personas que no cuentan con aseguramiento de ningún tipo,.,Nu
03-s-024,v3_s_024,Cobertura al régimen contributivo,Secretarías de Salud de cada ciudad,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Mide la población afiliada al Régimen Contributivo de Salud  sobre el  total de la población,.,Nu
03-s-025,v3_s_025,Cobertura al régimen de excepción,Secretarías de Salud de cada ciudad,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Mide la población afiliada al Régimen Contributivo de Salud  sobre el  total de la población,.,Nu
03-s-026,v3_s_026,Mediana de lactancia materna,Secretarías de Salud de cada ciudad,Número,Meses,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Es el punto medio en el número de meses que las mujeres que habían tenido un hijo en los últimos 5 años han proporcionado a sus hijos leche materna de manera exclusiva.,.,Nu
03-s-005,v3_s_005,Tasa de mortalidad materna,DANE,Tasa,Por cada 100.000 nacidos vivos,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Número de Muertes Maternas (Directas E Indirectas) con relación al número de Nacimientos Vivos por 100.000,En base de Red está por cada 1000 nacidos,Nu
03-s-006,v3_s_006,Porcentaje de nacidos vivos con bajo peso al nacer,DANE,Porcentaje,Porción,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Es el número de nacidos vivos con peso al nacer inferior a 2500 grm con relación al total de nacidos vivos por 100,.,Nu
03-s-011,v3_s_011,Tasa de mortalidad en menores de 5 años,DANE,Tasa,Por cada 10.000 nacidos vivos,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Número de muertes en menores de cinco años con relación a la población menor de cinco años para el período por cada 10.020,En base de Red está por cada 1000 nacidos,Nu
03-s-010,v3_s_010,Tasa de mortalidad en menores de 1 año,DANE,Tasa,Por cada 1000 nacidos vivos,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Número de muertes en menores de un año con relación al número de nacidos vivos por cada 1.020,.,Nu
03-s-027,v3_s_027,Tasa de mortalidad perinatal por 1.000 nacidos vivos,DANE,Tasa,Por cada 1000 nacidos vivos,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Número de muertes en menores de un año con relación al número de nacidos vivos por 1.020,.,Nu
03-s-028,v3_s_028,Tasa de mortalidad por desnutrición en niños y niñas menores de cinco años (por 100.000 menores de cinco años),DANE,Tasa,Por cada 100.000 menores,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,"Número de muertes asociadas a deficiencias nutricionales en los menores de cinco años en un periodo de tiempo x 100,000 / Población menor de cinco años para el período.",.,Nu
03-s-029,v3_s_029,Tasa de mortalidad por enfermedad diarreica aguda EDA por 100.000 menores de cinco años,DANE,Tasa,Por cada 100.000 menores,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Número de muertes por enfermedad diarreica aguda en menores de cinco años por cada 100.000 menores de cinco años para el periodo / Población menor de cinco años para el periodo.,.,Nu
03-s-030,v3_s_030,Tasa de mortalidad  por Infeccion Respiratoria Aguda IRA por 100.000 menores de cinco años,DANE,Tasa,Por cada 100.000 menores,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Número de muertes por infección respiratoria aguda en menores de cinco años por cada 100.000 menores de cinco años para el periodo / Población menor de cinco años para el periodo.,.,Nu
03-s-031,v3_s_031,Tasa de mortalidad por neumonía por 100.000 menores de cinco años,DANE,Tasa,Por cada 100.000 menores,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Número de muertes por infección respiratoria aguda en menores de cinco años por cada 100.000 menores de cinco años para el periodo / Población menor de cinco años para el periodo.,.,Nu
03-s-032,v3_s_032,"Incidencia del VIH * 100,000 hab",Secretaría de Salud,Tasa,Por cada 100.000 habitantes,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Mide el número de habitantes con VIH sobre el total de habitantes por cada 100.000,.,Nu
03-s-033,v3_s_033,Mortalidad por cáncer de mama (número de casos),Secretaría de Salud,Número,Casos,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Mide el numero de mujeres fallecidas como consecuencia de Tumor Maligno mama,.,Nu
03-s-034,v3_s_034,Mortalidad por cáncer de útero por cada 100.000 mujeres,Secretaría de Salud,Tasa,Por Cada 100.000 mujeres,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Expresa la mortalidad por cáncer de útero por cada 100.000 mujeres,.,Nu
03-s-035,v3_s_035,Consumo de sustancias psicoactivas,Secretaría de Salud,Número,Casos de Abuso,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Mide el número de casos de abuso de sustancias psicoactivas,.,Nu
03-s-036,v3_s_036,Número de Camas hospitalarias por 1.000_x000D_ habitantes.,Secretaría de Salud,Tasa,Por cada 100.000 habitantes,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Mide el número de camas disponibles en red adscrita y no adscrita a razón por 1.000 habitantes.,.,Nu
03-s-037,v3_s_037,Número de ambulancias por cada 100.000 habitantes.,Secretaría de Salud,Tasa,Por cada 100.000 habitantes,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Mide el número de ambuklancias disponibles en red adscrita y no adscrita a razón por 100.000 habitantes.,.,Nu
03-s-038,v3_s_038,Cinco primeras causas de morbilidad atendida en consulta externa red adscrita,Secretaría de Salud,Texto,Causas de Mortalidad,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Expresa las cinco primeras causas de morbilidad atendida en consulta externa red adscrita en la ciudad.,.,Ca
03-s-039,v3_s_039,Cinco primeras causas de morbilidad atendida en consulta externa red NO adscrita,Secretaría de Salud,Texto,Causas de Mortalidad,3. Salud,Activos de las personas,3. Salud,Secretaría de Salud,Registro Administrativo,Expresa las cinco primeras causas de morbilidad atendida en consulta externa red NO adscrita en la ciudad.,.,Ca
04-e-012,v4_e_012,Tasa global de cobertura bruta en educación,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Mide la población matriculada sobre el total población en edad escolar (5 a 16 años),.,Nu
04-e-001,v4_e_001,Tasa de cobertura bruta en educación inicial,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Mide la población matriculada en educación inicial menores a 5 años sobre el  población de 3 a 5 años,.,Nu
04-e-013,v4_e_013,Tasa bruta de cobertura Preescolar (5 años),Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Población matriculada en el nivel / población que tiene la edad apropiada para cursar el nivel * 100,.,Nu
04-e-014,v4_e_014,Tasa bruta de cobertura básica primaria,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Estudiantes matriculados en el nivel primaria / población en edad escolar para dicho nivel *100,.,Nu
04-e-015,v4_e_015,Tasa bruta de cobertura en básica secundaria,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Estudiantes matriculados en el nivel secundaria / población en edad escolar para dicho nivel * 100,.,Nu
04-e-016,v4_e_016,Tasa bruta de cobertura en media vocacional,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Estudiantes matriculados en el nivel media vocacional / población en edad escolar para dicho nivel * 100,.,Nu
04-e-017,v4_e_017,Tasa  de cobertura en educación en técnica,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Mide la población matriculada en carreras técnicas sobre la población de 17 a 24 años,.,Nu
04-e-018,v4_e_018,Tasa global de cobertura neta ajustada,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Estudiantes matriculados que tienen la edad ideal para cursarlo / población en edad escolar * 100,.,Nu
04-e-002,v4_e_002,Tasa de cobertura neta en básica preescolar,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Estudiantes matriculados que tienen la edad ideal para cursarlo / población en edad escolar según el nivel educativo * 100,.,Nu
04-e-003,v4_e_003,Tasa de cobertura neta en básica primaria,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Mide la población matriculada en educación primaria (grados 1º a 5º)  sobre la población de 6 a 10 años,.,Nu
04-e-004,v4_e_004,Tasa de cobertura neta en básica secundaria,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Mide la población matriculada en educación secundaria (grados 6º a 9º) de 11 a 14 años sobre la población de 11 a 14 años,.,Nu
04-e-005,v4_e_005,Tasa de cobertura neta en media vocacional,Secretaría de Educación,Porcentaje,Porción,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Mide la población matriculada en educación media (grados 10º y 11º) de 15 a 16 años de edad  sobre la  población de 15 a 16 años,.,Nu
04-e-019,v4_e_019,Población en edad escolar de 5 a 16 años por localidades,DANE,Número,Personas,1. Demografía,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Expresa el número de niños y niñas en edad escolar de 5 a 16 años.,.,Nu
04-e-020,v4_e_020,Matricula oficial primera infancia grado pre-jardín,Secretaría de Educación,Número,Personas,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Expresa el número de niños y niñas de primera infancia matriculados en el sector oficial en el grado jardín.,.,Nu
04-e-021,v4_e_021,Matricula privada primera infancia grado pre-jardín,Secretaría de Educación,Número,Personas,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Expresa el número de niños y niñas de primera infancia matriculados en el sector privado en el grado jardín.,.,Nu
04-e-022,v4_e_022,Matricula oficial primera infancia grado jardín,Secretaría de Educación,Número,Personas,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Expresa el número de niños y niñas de primera infancia matriculados en el sector oficial en el grado pre-jardín.,.,Nu
04-e-023,v4_e_023,Matricula privada primera infancia grado jardín,Secretaría de Educación,Número,Personas,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Expresa el número de niños y niñas de primera infancia matriculados en el sector privado en el grado pre-jardín.,.,Nu
04-e-024,v4_e_024,Matricula oficial primera infancia grado transición,Secretaría de Educación,Número,Personas,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Expresa el número de niños y niñas de primera infancia matriculados en el sector oficial en el grado transición.,.,Nu
04-e-025,v4_e_025,Matricula Privada primera infancia grado transición,Secretaría de Educación,Número,Personas,4. Educación,Activos de las personas,4. Educación,"Secretaría de Educación. Oficina Asesora de Planeación - Grupo Gestión de la Información. Matrícula privada con metodología de imputación de datos  del aplicativo Registro de Información Estadística SED año 2014, con fecha de corte: 31 de marzo de 2014",Registro Administrativo,Expresa el número de niños y niñas de primera infancia matriculados en el sector privado en este nivel,.,Nu
04-e-027,v4_e_027,Matricula oficial primera infancia total,Secretaría de Educación,Número,Personas,4. Educación,Activos de las personas,4. Educación,Secretaría de Educación,Registro Administrativo,Expresa el número de niños y niñas de primera infancia matriculados en el sector oficial en el grado transicion.,.,Nu
04-e-028,v4_e_028,Matricula Privada primera infancia total,Secretaría de Educación,Número,Personas,4. Educación,Activos de las personas,4. Educación,"Secretaría de Educación. Oficina Asesora de Planeación - Grupo Gestión de la Información. Matrícula privada con metodología de imputación de datos  del aplicativo Registro de Información Estadística SED año 2014, con fecha de corte: 31 de marzo de 2014",Registro Administrativo,Expresa el número de niños y niñas de primera infancia matriculados en el sector privado en este nivel,.,Nu
